120 973
1 93 7
1 95 4
1 120 1
1 79 6
1 78 9
1 22 9
1 117 6
1 110 10
1 23 2
2 31 9
2 96 7
2 117 1
2 29 5
2 91 1
2 24 1
2 110 6
3 74 6
3 23 4
3 89 1
3 100 10
3 54 3
3 20 2
3 101 7
4 26 10
4 88 2
4 47 2
4 109 5
4 16 3
4 12 5
4 62 7
4 52 4
4 101 9
4 115 6
4 87 10
4 79 2
5 77 8
5 19 8
5 56 1
6 96 8
6 98 5
6 5 6
6 36 7
6 11 6
6 44 10
6 88 3
6 19 7
6 43 2
6 69 3
6 92 9
6 58 3
7 38 9
7 86 7
7 11 8
7 119 1
7 63 9
7 19 9
7 57 4
7 74 6
7 58 2
8 72 7
8 4 7
8 48 1
8 82 3
8 120 8
8 84 5
8 30 6
8 115 8
8 109 4
8 49 3
9 91 4
9 116 2
9 71 4
9 90 4
9 83 4
9 78 8
9 80 2
9 99 9
9 89 1
9 111 4
9 94 3
9 55 10
10 61 9
10 45 7
10 8 2
10 14 9
10 72 10
10 91 8
10 40 8
10 81 9
10 48 4
11 47 8
11 110 9
11 85 6
11 89 4
11 60 2
11 87 6
11 116 9
11 41 10
11 97 4
11 5 7
11 93 6
12 17 2
12 4 6
12 32 5
13 1 8
13 104 9
13 105 3
13 94 2
13 79 5
14 89 10
14 72 8
14 110 6
14 25 6
14 80 2
14 119 8
14 11 3
15 117 1
15 114 10
15 107 1
15 66 6
16 56 3
16 46 6
16 95 3
16 86 2
16 99 3
16 68 2
17 84 2
17 21 6
17 58 1
17 70 5
17 94 1
17 10 8
17 92 3
17 107 7
17 115 5
17 24 -7
18 44 3
18 70 2
18 61 3
18 83 2
18 108 7
18 64 2
18 93 8
18 117 5
18 82 1
19 82 2
19 111 4
19 39 9
19 92 2
19 9 8
19 61 6
19 94 10
19 104 10
20 15 1
20 76 1
20 116 4
20 100 9
20 64 2
20 53 5
20 71 1
20 78 6
20 118 8
21 12 6
21 1 6
21 25 6
21 70 4
21 29 9
21 45 10
21 109 7
21 106 7
21 73 9
21 115 8
21 110 9
22 59 3
22 99 9
22 48 6
22 32 3
22 55 3
22 91 2
22 85 7
22 4 3
23 31 4
23 70 8
23 29 9
23 10 2
23 58 10
23 86 4
23 24 5
23 80 6
23 97 10
23 14 8
23 17 6
24 29 10
24 11 5
24 66 8
24 101 5
24 76 5
25 31 1
25 17 8
25 58 9
25 18 7
25 101 6
25 50 9
25 83 2
25 86 1
25 112 6
25 8 10
26 5 5
26 58 8
26 38 8
26 17 9
26 100 7
27 60 3
27 29 2
27 19 8
27 46 9
27 64 4
27 20 1
28 40 6
28 102 7
28 108 6
28 74 3
28 59 8
28 38 8
29 59 3
29 38 9
29 86 5
29 65 9
29 47 9
29 113 8
29 75 9
29 32 1
29 52 6
30 50 3
30 8 9
30 1 5
30 82 4
30 63 3
30 79 8
30 117 1
30 89 9
30 113 2
30 76 8
31 116 6
31 89 8
31 66 10
31 95 7
31 82 10
31 11 3
31 55 10
31 36 6
31 27 5
32 109 10
32 27 3
32 93 2
32 107 7
32 64 8
32 2 5
33 87 8
33 62 8
33 4 3
33 101 7
33 110 4
33 92 2
33 1 9
34 111 3
34 78 1
34 80 7
34 23 3
34 99 2
35 115 10
35 113 2
35 82 8
35 92 10
35 27 5
35 60 9
35 26 2
35 74 7
35 58 2
36 28 5
36 106 10
36 119 7
36 110 4
36 20 7
36 29 4
36 32 3
36 9 2
36 43 4
36 19 -7
37 98 2
37 72 2
37 76 8
37 113 8
37 82 8
37 102 9
37 117 4
37 3 -3
38 59 2
38 28 3
38 55 1
38 75 7
38 67 8
38 19 8
38 91 7
38 50 10
39 33 8
39 62 6
39 35 5
39 77 7
39 58 2
39 98 6
40 18 1
40 117 6
40 48 8
40 23 7
40 38 5
40 77 9
40 115 2
41 89 10
41 15 2
41 102 10
41 78 6
41 111 10
41 34 7
41 81 7
42 49 8
42 10 7
42 57 9
42 94 3
42 82 8
42 119 1
42 39 8
42 95 8
42 56 5
42 17 -6
43 7 8
43 57 10
43 24 10
43 41 10
43 65 5
43 1 3
43 56 6
43 109 9
43 91 7
43 87 10
44 67 1
44 114 3
44 15 4
44 17 6
44 34 1
